Cidades,Geocode
colares,1502608.0
conceição do araguaia,1502707.0
concórdia do pará,1502756.0
cumaru do norte,1502764.0
curionópolis,1502772.0
curuá,1502855.0
curuçá,1502905.0
dom eliseu,1502939.0
eldorado do carajás,1502954.0
floresta do araguaia,1503044.0
garrafão do norte,1503077.0
goianésia do pará,1503093.0
igarapé-açu,1503200.0
igarapé-miri,1503309.0
inhangapi,1503408.0
ipixuna do pará,1503457.0
irituia,1503507.0
itaituba,1503606.0
itupiranga,1503705.0
jacareacanga,1503754.0
jacundá,1503804.0
mãe do rio,1504059.0
magalhães barata,1504109.0
marabá,1504208.0
maracanã,1504307.0
marapanim,1504406.0
marituba,1504422.0
medicilândia,1504455.0
mocajuba,1504604.0
moju,1504703.0
mojuí dos campos,1504752.0
monte alegre,1504802.0
nova esperança do piriá,1504950.0
nova ipixuna,1504976.0
nova timboteua,1505007.0
novo progresso,1505031.0
novo repartimento,1505064.0
óbidos,1505106.0
oriximiná,1505304.0
ourém,1505403.0
ourilândia do norte,1505437.0
pacajá,1505486.0
palestina do pará,1505494.0
paragominas,1505502.0
parauapebas,1505536.0
pau d'arco,1505551.0
peixe-boi,1505601.0
piçarra,1505635.0
placas,1505650.0
prainha,1506005.0
primavera,1506104.0
quatipuru,1506112.0
redenção,1506138.0
rio maria,1506161.0
rondon do pará,1506187.0
rurópolis,1506195.0
salinópolis,1506203.0
salvaterra,1506302.0
santa bárbara do pará,1506351.0
santa izabel do pará,1506500.0
santa luzia do pará,1506559.0
santa maria das barreiras,1506583.0
santa maria do pará,1506609.0
santana do araguaia,1506708.0
santarém,1506807.0
santarém novo,1506906.0
santo antônio do tauá,1507003.0
são caetano de odivelas,1507102.0
são domingos do araguaia,1507151.0
são domingos do capim,1507201.0
são félix do xingu,1507300.0
são francisco do pará,1507409.0
são geraldo do araguaia,1507458.0
são joão da ponta,1507466.0
são joão de pirabas,1507474.0
são joão do araguaia,1507508.0
são miguel do guamá,1507607.0
sapucaia,1507755.0
senador josé porfírio,1507805.0
soure,1507904.0
tailândia,1507953.0
terra alta,1507961.0
tomé-açu,1508001.0
tracuateua,1508035.0
trairão,1508050.0
tucumã,1508084.0
tucuruí,1508100.0
ulianópolis,1508126.0
uruará,1508159.0
vigia,1508209.0
viseu,1508308.0
xinguara,1508407.0
serra do navio,1600055.0
amapá,1600105.0
pedra branca do amapari,1600154.0
calçoene,1600204.0
cutias,1600212.0
ferreira gomes,1600238.0
itaubal,1600253.0
laranjal do jari,1600279.0
macapá,1600303.0
mazagão,1600402.0
oiapoque,1600501.0
porto grande,1600535.0
pracuúba,1600550.0
santana,1600600.0
tartarugalzinho,1600709.0
vitória do jari,1600808.0
abreulândia,1700251.0
aguiarnópolis,1700301.0
aliança do tocantins,1700350.0
almas,1700400.0
alvorada,1700707.0
ananás,1701002.0
angico,1701051.0
aparecida do rio negro,1701101.0
aragominas,1701309.0
araguacema,1701903.0
araguaçu,1702000.0
araguaína,1702109.0
araguanã,1702158.0
araguatins,1702208.0
arapoema,1702307.0
arraias,1702406.0
augustinópolis,1702554.0
aurora do tocantins,1702703.0
axixá do tocantins,1702901.0
babaçulândia,1703008.0
bandeirantes do tocantins,1703057.0
barra do ouro,1703073.0
barrolândia,1703107.0
bernardo sayão,1703206.0
bom jesus do tocantins,1703305.0
brasilândia do tocantins,1703602.0
brejinho de nazaré,1703701.0
buriti do tocantins,1703800.0
cachoeirinha,1703826.0
campos lindos,1703842.0
cariri do tocantins,1703867.0
carmolândia,1703883.0
carrasco bonito,1703891.0
caseara,1703909.0
centenário,1704105.0
chapada de areia,1704600.0
chapada da natividade,1705102.0
colinas do tocantins,1705508.0
combinado,1705557.0
conceição do tocantins,1705607.0
couto magalhães,1706001.0
cristalândia,1706100.0
crixás do tocantins,1706258.0
darcinópolis,1706506.0
dianópolis,1707009.0
divinópolis do tocantins,1707108.0
dois irmãos do tocantins,1707207.0
dueré,1707306.0
esperantina,1707405.0
fátima,1707553.0
figueirópolis,1707652.0
filadélfia,1707702.0
formoso do araguaia,1708205.0
goianorte,1708304.0
goiatins,1709005.0
guaraí,1709302.0
gurupi,1709500.0
itacajá,1710508.0
itaguatins,1710706.0
itapiratins,1710904.0
itaporã do tocantins,1711100.0
jaú do tocantins,1711506.0
juarina,1711803.0
lagoa da confusão,1711902.0
lagoa do tocantins,1711951.0
lajeado,1712009.0
lavandeira,1712157.0
lizarda,1712405.0
luzinópolis,1712454.0
marianópolis do tocantins,1712504.0
mateiros,1712702.0
maurilândia do tocantins,1712801.0
miracema do tocantins,1713205.0
miranorte,1713304.0
monte do carmo,1713601.0
monte santo do tocantins,1713700.0
palmeiras do tocantins,1713809.0
muricilândia,1713957.0
natividade,1714203.0
nazaré,1714302.0
nova olinda,1714880.0
nova rosalândia,1715002.0
novo acordo,1715101.0
novo alegre,1715150.0
novo jardim,1715259.0
oliveira de fátima,1715507.0
palmeirante,1715705.0
palmeirópolis,1715754.0
paraíso do tocantins,1716109.0
paranã,1716208.0
pau d'arco,1716307.0
pedro afonso,1716505.0
peixe,1716604.0
pequizeiro,1716653.0
colméia,1716703.0
pindorama do tocantins,1717008.0
piraquê,1717206.0
pium,1717503.0
ponte alta do bom jesus,1717800.0
ponte alta do tocantins,1717909.0
porto alegre do tocantins,1718006.0
porto nacional,1718204.0
praia norte,1718303.0
presidente kennedy,1718402.0
pugmil,1718451.0
recursolândia,1718501.0
riachinho,1718550.0
rio dos bois,1718709.0
rio sono,1718758.0
sandolândia,1718840.0
santa fé do araguaia,1718865.0
santa maria do tocantins,1718881.0
santa rita do tocantins,1718899.0
santa rosa do tocantins,1718907.0
santa tereza do tocantins,1719004.0
santa terezinha do tocantins,1720002.0
são bento do tocantins,1720101.0
são miguel do tocantins,1720200.0
são salvador do tocantins,1720259.0
são sebastião do tocantins,1720309.0
são valério,1720499.0
silvanópolis,1720655.0
sítio novo do tocantins,1720804.0
sucupira,1720853.0
taguatinga,1720903.0
taipas do tocantins,1720937.0
talismã,1720978.0
palmas,1721000.0
tocantínia,1721109.0
tocantinópolis,1721208.0
tupiratins,1721307.0
wanderlândia,1722081.0
xambioá,1722107.0
